Year,CN,IN
1900,24790.2696,17122.7434
1901,24790.2696,17122.7434
1902,24790.2696,17122.7434
1903,24790.2696,17122.7434
1904,24790.2696,17122.7434
1905,23187.8388,18296.408
1906,23187.8388,18296.408
1907,23187.8388,18296.408
1908,23187.8388,18296.408
1909,23187.8388,18296.408
1910,27285.4414,19645.031
1911,27285.4414,19645.031
1912,27285.4414,19645.031
1913,27285.4414,19645.031
1914,27285.4414,19645.031
1915,30639.3166,20964.4822
1916,30639.3166,20964.4822
1917,30639.3166,20964.4822
1918,30639.3166,20964.4822
1919,30639.3166,20964.4822
1920,27996.9418,22636.8444
1921,27996.9418,22636.8444
1922,27996.9418,22636.8444
1923,27996.9418,22636.8444
1924,27996.9418,22636.8444
1925,21662.501,24233.8848
1926,21662.501,24233.8848
1927,21662.501,24233.8848
1928,21662.501,24233.8848
1929,21662.501,24233.8848
1930,21995.2084,26364.5576
1931,21995.2084,26364.5576
1932,21995.2084,26364.5576
1933,21995.2084,26364.5576
1934,21995.2084,26364.5576
1935,27895.255,27358.6586
1936,27895.255,27358.6586
1937,27895.255,27358.6586
1938,27895.255,27358.6586
1939,27895.255,27358.6586
1940,21057.3258,27583.6518
1941,21057.3258,27583.6518
1942,21057.3258,27583.6518
1943,21057.3258,27583.6518
1944,21057.3258,27583.6518
1945,18444.783,27849.8768
1946,18444.783,27849.8768
1947,18444.783,27849.8768
1948,18444.783,27849.8768
1949,18444.783,27849.8768
1950,24790.2696,17122.7434
1951,24790.2696,17122.7434
1952,24790.2696,17122.7434
1953,24790.2696,17122.7434
1954,24790.2696,17122.7434
1955,23187.8388,18296.408
1956,23187.8388,18296.408
1957,23187.8388,18296.408
1958,23187.8388,18296.408
1959,23187.8388,18296.408
1960,27285.4414,19645.031
1961,27285.4414,19645.031
1962,27285.4414,19645.031
1963,27285.4414,19645.031
1964,27285.4414,19645.031
1965,30639.3166,20964.4822
1966,30639.3166,20964.4822
1967,30639.3166,20964.4822
1968,30639.3166,20964.4822
1969,30639.3166,20964.4822
1970,27996.9418,22636.8444
1971,27996.9418,22636.8444
1972,27996.9418,22636.8444
1973,27996.9418,22636.8444
1974,27996.9418,22636.8444
1975,21662.501,24233.8848
1976,21662.501,24233.8848
1977,21662.501,24233.8848
1978,21662.501,24233.8848
1979,21662.501,24233.8848
1980,21995.2084,26364.5576
1981,21995.2084,26364.5576
1982,21995.2084,26364.5576
1983,21995.2084,26364.5576
1984,21995.2084,26364.5576
1985,27895.255,27358.6586
1986,27895.255,27358.6586
1987,27895.255,27358.6586
1988,27895.255,27358.6586
1989,27895.255,27358.6586
1990,21057.3258,27583.6518
1991,21057.3258,27583.6518
1992,21057.3258,27583.6518
1993,21057.3258,27583.6518
1994,21057.3258,27583.6518
1995,18444.783,27849.8768
1996,18444.783,27849.8768
1997,18444.783,27849.8768
1998,18444.783,27849.8768
1999,18444.783,27849.8768
2000,17147.7538,27814.1562
2001,17147.7538,27814.1562
2002,17147.7538,27814.1562
2003,17147.7538,27814.1562
2004,17147.7538,27814.1562
2005,17286.8382,27162.3098
2006,17286.8382,27162.3098
2007,17286.8382,27162.3098
2008,17286.8382,27162.3098
2009,17286.8382,27162.3098
2010,17636.3868,24883.9918
2011,17636.3868,24883.9918
2012,17636.3868,24883.9918
2013,17636.3868,24883.9918
2014,17636.3868,24883.9918
2015,16977.9806,24237.7326
2016,16977.9806,24237.7326
2017,16977.9806,24237.7326
2018,16977.9806,24237.7326
2019,16977.9806,24237.7326
2020,15420.0306,23941.3036
2021,15420.0306,23941.3036
2022,15420.0306,23941.3036
2023,15420.0306,23941.3036
2024,15420.0306,23941.3036
2025,14330.3106,23522.0846
2026,14330.3106,23522.0846
2027,14330.3106,23522.0846
2028,14330.3106,23522.0846
2029,14330.3106,23522.0846
2030,13837.1074,22784.0916
2031,13837.1074,22784.0916
2032,13837.1074,22784.0916
2033,13837.1074,22784.0916
2034,13837.1074,22784.0916
2035,13587.3322,21632.5092
2036,13587.3322,21632.5092
2037,13587.3322,21632.5092
2038,13587.3322,21632.5092
2039,13587.3322,21632.5092
2040,13398.0606,20506.6428
2041,13398.0606,20506.6428
2042,13398.0606,20506.6428
2043,13398.0606,20506.6428
2044,13398.0606,20506.6428
2045,12995.9972,19695.398
2046,12995.9972,19695.398
2047,12995.9972,19695.398
2048,12995.9972,19695.398
2049,12995.9972,19695.398
2050,12518.4634,19117.4694
2051,12518.4634,19117.4694
2052,12518.4634,19117.4694
2053,12518.4634,19117.4694
2054,12518.4634,19117.4694
2055,12048.88,18504.916
2056,12048.88,18504.916
2057,12048.88,18504.916
2058,12048.88,18504.916
2059,12048.88,18504.916
2060,11654.1266,17822.4222
2061,11654.1266,17822.4222
2062,11654.1266,17822.4222
2063,11654.1266,17822.4222
2064,11654.1266,17822.4222
2065,11355.6942,17019.9972
2066,11355.6942,17019.9972
2067,11355.6942,17019.9972
2068,11355.6942,17019.9972
2069,11355.6942,17019.9972
2070,11082.803,16267.1004
2071,11082.803,16267.1004
2072,11082.803,16267.1004
2073,11082.803,16267.1004
2074,11082.803,16267.1004
2075,10805.3876,15657.7244
2076,10805.3876,15657.7244
2077,10805.3876,15657.7244
2078,10805.3876,15657.7244
2079,10805.3876,15657.7244
2080,10482.2402,15122.9456
2081,10482.2402,15122.9456
2082,10482.2402,15122.9456
2083,10482.2402,15122.9456
2084,10482.2402,15122.9456
2085,10140.074,14668.2522
2086,10140.074,14668.2522
2087,10140.074,14668.2522
2088,10140.074,14668.2522
2089,10140.074,14668.2522
2090,9823.4264,14174.629
2091,9823.4264,14174.629
2092,9823.4264,14174.629
2093,9823.4264,14174.629
2094,9823.4264,14174.629
2095,9547.9634,13654.5502
2096,9547.9634,13654.5502
2097,9547.9634,13654.5502
2098,9547.9634,13654.5502
2099,9547.9634,13654.5502
